ID,Nom,Prenom,Age,Departement,Ville,Date_Embauche,Salaire,Prime,Teletravail,Performance_Score,Projet,Remise,Client_ID,Produit,Heures_Semaine,Feedback_Score,Type_Contrat,Manager,Categorie_Travail,Bonus_Annuel,Ventes_Mois01,Ventes_Mois02,Ventes_Mois03,Ventes_Mois04,Ventes_Mois05,Ventes_Mois06,Ventes_Mois07,Ventes_Mois08,Ventes_Mois09,Ventes_Mois10,Ventes_Mois11,Ventes_Mois12,CA,Salaire_Annuel,Salaire_Total,Ratio_CA_Salaire,Anciennete,Score_Pondere,Indice_Performance_Normalise,Ratio_Age_Anciennete,Categorie_Age,Performance_Level,Top_Performers,CLV,Score_Efficacite_20,Remise_Categorie,CA_Total_Produit
11,Stewart,Tammy,35,Ventes,West Kenneth,2011-01-14,9393,4998,Oui,78,Projet B,0.05,4312,Produit W,31,3,CDI,Patricia Jones,Standard,6975,85792,82762,61059,9875,6001,56646,75153,67336,42364,38870,62892,6212,565213.9,112716,124689,4.53,14,495.0,0.13,2.5,Expérimenté,Medium,False,1098347.98,2.46,Avec Remise,1292981428.48
12,Flores,Brittany,60,IT,South Shawnton,2011-06-04,3987,3383,Non,50,Projet B,0.06,4963,Produit W,37,4,CDI,Sabrina Robles,Expert,7650,93463,88424,23644,81357,21120,82647,94485,21211,93532,48040,23115,67952,694650.6,47844,58877,11.8,14,825.88,0.17,4.29,Retraité / Consultant,Medium,False,1077515.04,4.23,Avec Remise,1292981428.48
13,Wilcox,Joseph,31,Ventes,Aaronchester,2014-01-15,8203,3666,Non,52,Projet C,0.01,1648,Produit Z,42,1,CDI,Taylor Gibson,Standard,1983,61826,85641,9227,13073,44243,181,32656,18331,51056,6005,31006,48784,398008.71,98436,104085,3.82,11,218.73,0.08,2.82,Professionnel confirmé,Medium,False,1347946.89,0.57,Avec Remise,1286715697.35
14,White,Anna,56,Production,West Brandy,2023-10-23,2933,707,Non,67,Projet A,0.0,4781,Produit Y,33,1,Freelance,Andrea Hunter,Expert,8745,18093,63906,18918,11204,61113,57222,2559,24313,15861,48951,88681,30651,441472.0,35196,44648,9.89,2,132.5,0.04,28.0,Pré-retraire,Medium,False,2215666.78,0.48,Sans Remise,1285481295.4
15,White,Angela,39,Production,Elizabethchester,2009-11-03,10992,661,Non,82,Projet C,0.04,2052,Produit W,31,5,CDD,Miguel Adams,Standard,4822,13923,43365,29105,24590,43183,75776,10005,76870,68899,46911,76360,82056,567401.28,131904,137387,4.13,16,541.85,0.14,2.44,Expérimenté,Medium,False,1154729.28,2.7,Avec Remise,1292981428.48
16,Mcdaniel,Daniel,59,Finance,New Michellemouth,2020-02-23,8138,3424,Non,75,Projet A,0.09,1040,Produit W,42,5,CDD,Michael Gordon MD,Expert,7669,32356,83870,57773,97086,31023,37451,6965,81971,96755,93674,98669,77348,723396.31,97656,108749,6.65,5,249.45,0.05,11.8,Pré-retraire,Medium,False,1261995.01,1.17,Avec Remise,1292981428.48
17,Wells,Cody,35,Finance,Andrewsberg,2012-10-24,5006,3435,Non,53,Projet C,0.06,3077,Produit Y,43,1,CDI,Zachary Decker,Standard,202,68344,98227,97005,82777,30537,8701,55029,66759,37823,88846,39880,80498,709160.44,60072,63709,11.13,13,766.94,0.16,2.69,Expérimenté,Medium,False,2897147.64,3.45,Avec Remise,1285481295.4
18,Frank,Nicole,33,Marketing,North Danatown,2024-09-12,9211,4490,Non,81,Projet D,0.23,4750,Produit Z,44,2,CDI,William Davis,Avancé,3568,6160,22638,1883,33163,44713,85733,9692,80905,2928,96492,17678,4087,312675.44,110532,118590,2.64,1,21.36,0.01,33.0,Professionnel confirmé,Low,False,312675.44,0.04,Avec Remise,1286715697.35
19,Burton,Robert,38,IT,South Derekside,2018-10-18,6506,4096,Oui,58,Projet B,0.01,1244,Produit Z,38,5,Freelance,Brianna Moore,Avancé,4738,56876,74863,26565,66034,48919,29219,36826,24506,18365,4356,3092,65138,450211.41,78072,86906,5.18,7,210.33,0.07,5.43,Expérimenté,Medium,False,2495582.8,0.68,Avec Remise,1286715697.35
20,Smith,Lawrence,42,RH,Galvantown,2021-07-02,11771,1324,Oui,76,Projet B,0.23,4479,Produit W,32,3,CDD,Catherine Allen,Avancé,5780,39083,29992,38008,96889,95739,69405,98731,79826,92155,21984,61990,37699,586355.77,141252,148356,3.95,4,120.15,0.03,10.5,Senior 1,Medium,False,2056834.78,0.6,Avec Remise,1292981428.48
21,Dixon,John,39,Finance,New Carolynstad,2012-12-09,8951,1047,Non,95,Projet D,0.23,4931,Produit W,41,4,Freelance,Melissa Farmer,Avancé,3202,56113,80841,10896,46177,84068,20803,78330,52224,16746,48852,58372,34855,452973.29,107412,111661,4.06,13,501.0,0.16,3.0,Expérimenté,Medium,False,2683921.4,1.51,Avec Remise,1292981428.48
22,Weaver,Corey,63,Production,West Pamela,2005-11-01,11732,1358,Oui,64,Projet A,0.27,2487,Produit W,43,2,CDD,Heather Herrera,Standard,3539,12664,51431,13597,55341,62347,59978,60568,6887,14892,76877,60559,69053,397261.62,140784,145681,2.73,20,349.05,0.13,3.15,Retraité / Consultant,Medium,False,2052445.58,0.88,Avec Remise,1292981428.48
23,Osborne,Diana,63,Ventes,South Alexandriaberg,2010-09-11,11424,702,Oui,54,Projet B,0.08,1139,Produit X,32,2,CDI,Emily Rollins,Avancé,8250,10587,85810,45912,53434,91826,18491,81626,72276,98464,38174,63672,97483,697134.6,137088,146040,4.77,15,386.66,0.08,4.2,Retraité / Consultant,Medium,False,1846984.28,2.3,Avec Remise,1275523122.61
24,Pineda,Carly,51,Ventes,Nicoleborough,2015-02-12,5767,3906,Oui,51,Projet D,0.23,2448,Produit W,42,3,CDD,Cindy Chandler,Expert,7710,35309,39602,72358,14632,85659,5493,48234,62763,15908,11890,81237,65778,414924.51,69204,80820,5.13,10,261.83,0.09,5.1,Expert,Medium,False,1224342.11,0.71,Avec Remise,1292981428.48
25,Greene,Brenda,53,RH,South Danny,2019-06-03,9091,3507,Oui,85,Projet B,0.02,1126,Produit Z,33,5,CDI,Katrina Dixon,Standard,8309,60622,3794,6121,82002,17672,53681,35940,85618,37935,9811,2732,67026,453694.92,109092,120908,3.75,6,191.37,0.06,8.83,Expert,Medium,False,1231725.92,0.72,Avec Remise,1286715697.35
26,Spencer,Nicholas,35,IT,Port Sandra,2017-09-28,4122,4430,Non,68,Projet A,0.29,1223,Produit Y,31,2,CDI,Diana Ritter,Avancé,6059,38308,70581,26944,3438,25458,45544,43088,83268,40560,35093,66083,53677,377749.82,49464,59953,6.3,8,342.76,0.13,4.38,Expérimenté,Medium,False,1816363.28,1.14,Avec Remise,1285481295.4
27,Sutton,Jonathan,53,IT,West Meganland,2007-01-11,8440,4383,Oui,51,Projet B,0.19,1426,Produit Z,35,4,Freelance,Rachel Martinez,Avancé,1766,5514,83721,14450,48917,51921,35794,64793,39288,56389,15191,82533,15606,416434.77,101280,107429,3.88,18,355.85,0.12,2.94,Expert,Medium,False,2277925.98,1.15,Avec Remise,1286715697.35
28,Hall,Savannah,43,Ventes,New Rebeccafort,2022-04-17,10254,4033,Oui,82,Projet D,0.28,4072,Produit W,42,4,CDI,Aaron Bradford,Avancé,7837,1926,96127,949,56103,79477,77847,68180,53187,81139,63303,30312,6328,442712.16,123048,134918,3.28,3,80.72,0.03,14.33,Senior 1,Medium,False,2564579.8,0.23,Avec Remise,1292981428.48
29,Miller,Samantha,53,Finance,North Justinside,2017-09-29,2226,3546,Non,75,Projet B,0.17,3138,Produit W,31,3,Freelance,Tammy Pena,Avancé,7622,44629,52229,84765,79281,1037,14772,21082,41449,77575,72252,17709,39743,453614.09,26712,37880,11.98,8,718.5,0.23,6.62,Expert,Medium,False,1433418.26,2.87,Avec Remise,1292981428.48
30,Roberts,Chelsea,38,RH,Acostaborough,2016-06-26,7592,2373,Oui,95,Projet D,0.08,1151,Produit Z,30,2,CDD,Sonya Hernandez,Expert,4309,5740,40580,29396,59108,21271,78371,25292,93698,98996,56936,33932,7155,506437.0,91104,97786,5.18,9,442.81,0.13,4.22,Expérimenté,Medium,False,2004321.52,2.04,Avec Remise,1286715697.35
31,Jones,Randy,33,Production,Johnhaven,2011-04-16,2493,4984,Non,54,Projet C,0.15,4212,Produit Y,37,1,Freelance,Brandon Baldwin,Standard,2926,70109,20701,15364,70554,59570,4238,43882,63251,66419,48723,70702,22444,472563.45,29916,37826,12.49,14,944.48,0.29,2.36,Professionnel confirmé,High,True,3663373.8,3.29,Avec Remise,1285481295.4
32,Hutchinson,Elizabeth,28,Production,Westview,2013-07-21,11922,4863,Oui,52,Projet B,0.06,2352,Produit X,33,1,CDD,Amanda Rose,Standard,906,74606,39141,50319,47693,12949,84953,5709,28096,40108,87170,88851,6962,532563.58,143064,148833,3.58,12,223.28,0.06,2.33,Jeune professionnel,Medium,False,919590.52,0.98,Avec Remise,1275523122.61
33,Patel,Christopher,56,Marketing,South Derek,2012-07-12,4202,3420,Oui,67,Projet D,0.15,2268,Produit Y,33,2,Freelance,Heather Hunt,Expert,1034,22275,51951,17585,32623,63968,56628,99809,69904,8424,76708,21051,22987,462326.05,50424,54878,8.42,13,733.78,0.23,4.31,Pré-retraire,Medium,False,1425166.64,2.8,Avec Remise,1285481295.4
34,Tucker,Mary,26,Marketing,West Christinaborough,2010-04-04,4960,3506,Oui,79,Projet A,0.11,3346,Produit Y,36,1,CDI,Jay King,Expert,7580,65072,64665,66306,58374,45362,29344,93947,42214,72452,5539,56737,82257,607219.41,59520,70606,8.6,15,1019.11,0.24,1.73,Jeune professionnel,High,True,1707428.54,4.69,Avec Remise,1285481295.4
35,Allen,Kristy,50,Finance,Princeberg,2015-05-25,7997,3853,Oui,91,Projet C,0.1,2883,Produit X,37,2,CDD,Matthew Richardson,Expert,6895,85454,54835,69296,50739,46922,75669,11888,24194,12995,48851,20699,63189,508257.9,95964,106712,4.76,10,433.42,0.12,5.0,Expert,Medium,False,1496361.92,1.62,Avec Remise,1275523122.61
36,Marshall,Jeffery,44,Marketing,Harrisview,2016-05-26,10607,1331,Non,74,Projet A,0.17,2231,Produit Y,32,5,Freelance,Jennifer Quinn,Standard,2513,6612,57064,36653,10860,7290,87955,35666,50112,88150,74327,63811,38816,462572.28,127284,131128,3.53,9,234.94,0.07,4.89,Senior 1,Medium,False,1745438.13,0.93,Avec Remise,1285481295.4
37,Green,Benjamin,53,Finance,West Tara,2013-02-08,11281,525,Non,94,Projet A,0.24,2228,Produit Z,39,1,CDD,Mr. Micheal Harrell,Standard,8000,71101,95133,13043,84606,31594,56947,20064,32713,51520,83519,46909,22133,463054.32,135372,143897,3.22,12,362.99,0.11,4.42,Expert,Medium,False,1702036.13,1.18,Avec Remise,1286715697.35
38,Wyatt,Desiree,32,Ventes,East Kevinborough,2014-04-07,9990,4280,Non,81,Projet B,0.09,3621,Produit W,43,2,CDD,Jennifer Brown,Expert,368,21642,66549,19676,16851,77579,72748,89,23016,80552,25315,60619,77219,493088.05,119880,124528,3.96,11,352.81,0.1,2.91,Professionnel confirmé,Medium,False,2758796.6,1.1,Avec Remise,1292981428.48
39,Rangel,Antonio,49,Production,Jeremyfurt,2011-12-04,10288,3226,Oui,60,Projet D,0.14,2414,Produit Y,36,3,CDD,Scott Wilson,Expert,4562,77275,49453,21701,96350,6636,29709,67929,16127,1483,2752,97071,82644,472251.8,123456,131244,3.6,14,302.25,0.09,3.5,Senior 2,Medium,False,3048528.45,1.08,Avec Remise,1285481295.4
40,Bell,Scott,34,IT,Robertside,2018-03-19,11615,621,Non,69,Projet D,0.26,3482,Produit Z,38,3,CDD,Mark Morrow,Avancé,911,8147,77478,34268,60443,867,37748,41016,17937,1036,62523,99464,76179,382658.44,139380,140912,2.72,7,131.16,0.05,4.86,Professionnel confirmé,Medium,False,2005443.5,0.36,Avec Remise,1286715697.35
41,Johnson,Monique,56,Finance,East Tyler,2015-03-31,11450,1841,Non,63,Projet D,0.1,3818,Produit W,44,4,CDD,Mary Moore,Expert,241,61032,74720,82661,82391,95543,61216,103,51491,64288,97816,39155,37981,673557.3,137400,139482,4.83,10,304.23,0.07,5.6,Pré-retraire,Medium,False,2077468.4,1.27,Avec Remise,1292981428.48
42,Guzman,Walter,62,RH,North Michael,2017-02-18,7938,2132,Non,85,Projet A,0.15,4627,Produit X,36,1,CDI,Jessica Fuller,Expert,2528,85706,4375,37043,51447,11818,99374,99673,44991,85331,2891,34934,31872,501036.75,95256,99916,5.01,8,340.99,0.1,7.75,Retraité / Consultant,Medium,False,1365028.11,1.29,Avec Remise,1275523122.61
43,Little,Andrew,59,RH,Royland,2023-01-30,2643,2974,Non,66,Projet A,0.0,4905,Produit X,34,5,CDD,Jamie Smith,Standard,6422,95692,79271,48716,68523,3648,34283,40890,28852,2598,13399,45432,8987,470291.0,31716,41112,11.44,2,151.0,0.05,29.5,Pré-retraire,Medium,False,470291.0,0.57,Sans Remise,1275523122.61
44,Romero,Nicole,61,Ventes,New Erichaven,2022-11-23,11468,3924,Non,73,Projet C,0.29,3728,Produit Z,38,4,CDD,Jennifer Smith,Standard,3715,9722,55059,6333,38156,23005,69180,58738,13307,78335,48691,2630,96498,354754.34,137616,145255,2.44,3,53.49,0.02,20.33,Retraité / Consultant,Low,False,1891993.27,0.14,Avec Remise,1286715697.35
45,Jenkins,Breanna,31,Production,Angelafort,2010-12-14,9831,3117,Oui,99,Projet B,0.09,2879,Produit Z,42,4,Freelance,Derrick Oconnor,Avancé,6963,23174,84691,27013,43286,62596,8639,59579,36251,23777,20319,77357,28291,450425.43,117972,128052,3.52,15,522.35,0.17,2.07,Professionnel confirmé,Medium,False,2056438.14,1.53,Avec Remise,1286715697.35
46,Mendoza,Ashley,64,IT,Donnaport,2009-08-28,4532,3556,Non,87,Projet C,0.07,1406,Produit Y,38,3,Freelance,Amy Kramer,Expert,9873,96917,98185,31622,71706,24327,6862,48704,5382,90103,46499,91476,69947,634008.9,54384,67813,9.35,16,1301.43,0.3,4.0,Retraité / Consultant,High,True,1164495.3,5.92,Avec Remise,1285481295.4
47,Robertson,Edward,47,Production,Port Bryanland,2014-07-27,4394,828,Non,64,Projet C,0.27,4354,Produit W,40,4,CDI,Christopher Cole Jr.,Avancé,8524,46044,67251,99618,98489,31156,89321,7268,99336,47693,61659,70148,63287,570327.1,52728,62080,9.19,11,646.76,0.17,4.27,Senior 2,Medium,False,2815096.84,2.52,Avec Remise,1292981428.48
48,Barajas,Willie,40,Finance,Johnton,2018-08-23,3403,3996,Oui,51,Projet D,0.28,4630,Produit W,43,1,CDI,Stephen Espinoza,Standard,2160,98633,48524,32175,37863,82039,61900,39353,32617,72927,35251,5059,98107,464002.56,40836,46992,9.87,7,352.5,0.11,5.71,Senior 1,Medium,False,2041790.73,1.04,Avec Remise,1292981428.48
49,Castillo,Keith,31,Marketing,Cunninghamville,2017-06-05,6958,2733,Non,81,Projet D,0.2,3325,Produit Y,43,4,Freelance,Heather Barton,Avancé,2875,37145,18002,97588,66270,83473,95970,30876,23282,55659,86720,9249,38355,514071.2,83496,89104,5.77,8,373.85,0.11,3.88,Professionnel confirmé,Medium,False,1760215.76,1.22,Avec Remise,1285481295.4
50,Salinas,Nancy,23,Marketing,North Christopherburgh,2012-11-09,8751,769,Non,88,Projet B,0.05,3947,Produit W,35,1,CDD,Daniel Reese,Avancé,8421,56842,45735,64570,40357,27346,80546,16698,69857,9971,894,97023,71249,552033.6,105012,114202,4.83,13,552.99,0.15,1.77,Jeune employé,Medium,False,1709471.4,2.38,Avec Remise,1292981428.48
51,Ortega,Jonathon,27,IT,New Yolandaberg,2021-08-01,4847,1700,Oui,72,Projet A,0.24,1994,Produit W,43,5,Freelance,Jessica Mendoza,Expert,3452,50852,41333,41242,86839,61050,70555,93638,4459,75003,56700,70882,50009,533947.12,58164,63316,8.43,4,242.87,0.07,6.75,Jeune professionnel,Medium,False,1384567.12,0.82,Avec Remise,1292981428.48
52,Proctor,Brian,40,Production,North Saraburgh,2012-09-10,9760,1272,Non,78,Projet D,0.29,2919,Produit Z,38,3,Freelance,Jason Williams,Standard,1277,2063,72138,31526,43727,93659,55836,71344,85540,99990,57711,71157,25808,504454.29,117120,119669,4.22,13,427.44,0.12,3.08,Senior 1,Medium,False,967125.19,1.55,Avec Remise,1286715697.35
53,Ramirez,Glenn,44,Production,South Amandaport,2024-10-31,3910,4085,Oui,54,Projet C,0.25,2331,Produit X,31,1,Freelance,Rebecca Cunningham,Standard,3160,78960,17155,90507,7687,28219,10866,3213,79682,45798,96427,75269,33828,425708.25,46920,54165,7.86,1,42.44,0.01,44.0,Senior 1,Low,False,1518409.43,0.16,Avec Remise,1275523122.61
54,Joyce,Julian,33,Ventes,New Mark,2008-10-30,5428,4504,Oui,97,Projet D,0.17,1903,Produit Z,31,2,CDD,Jesse Martin,Expert,753,75608,32440,35091,57439,52890,84688,22001,55546,28769,73706,25436,98305,532792.77,65136,70393,7.57,17,1248.1,0.34,1.94,Professionnel confirmé,High,True,1685059.51,5.85,Avec Remise,1286715697.35
55,Singleton,Timothy,56,Production,Benjaminport,2019-10-11,2175,2147,Non,74,Projet B,0.27,4893,Produit Y,44,1,Freelance,Dr. Monica Johnson,Standard,8634,82557,22312,22986,63780,86114,11173,56827,21368,6799,85693,57300,27054,397092.99,26100,36881,10.77,6,478.05,0.18,9.33,Pré-retraire,Medium,False,1345900.22,1.18,Avec Remise,1285481295.4
56,Murillo,Wendy,46,RH,South Erictown,2013-11-07,11183,1659,Non,78,Projet D,0.24,3220,Produit X,39,4,CDI,Richard Ramos,Expert,8753,86823,46170,30509,82775,57260,82505,73896,37533,65836,70873,70104,39200,565047.84,134196,144608,3.91,12,365.74,0.09,3.83,Senior 2,Medium,False,1941017.65,1.45,Avec Remise,1275523122.61
57,Foster,Shane,56,Ventes,East Lindaside,2013-09-18,7589,3044,Oui,69,Projet B,0.2,2188,Produit X,31,5,CDI,John Walker,Standard,709,61285,50913,770,99309,38577,68903,14598,41335,27071,75667,72509,57949,487108.8,91068,94821,5.14,12,425.36,0.13,4.67,Pré-retraire,Medium,False,487108.8,1.82,Avec Remise,1275523122.61
58,Ware,Allen,46,RH,Smithside,2018-10-01,3771,928,Non,79,Projet B,0.05,4887,Produit Z,34,2,CDI,Doris Gutierrez,Avancé,9206,87667,92168,81173,73411,21259,44305,68085,65779,16208,26964,52634,21507,618602.0,45252,55386,11.17,7,617.64,0.15,6.57,Senior 2,Medium,False,2192927.34,3.06,Avec Remise,1286715697.35
59,Ellison,Kevin,24,RH,West Sherry,2022-04-17,4350,4801,Oui,51,Projet B,0.13,3645,Produit X,42,4,CDI,Jenna Adams,Expert,3133,73136,340,90821,96020,34841,7512,5975,20363,89028,22209,20612,85247,475110.48,52200,60134,7.9,3,120.88,0.04,8.0,Jeune employé,Medium,False,2578346.69,0.37,Avec Remise,1275523122.61
60,Snyder,David,62,RH,North Lindsay,2023-05-14,8148,2302,Oui,60,Projet B,0.1,1442,Produit Y,39,5,CDI,Samuel Wilson,Expert,7484,9760,78951,54903,36807,3669,43691,63300,36816,46273,97202,5329,67913,490152.6,97776,107562,4.56,2,54.68,0.02,31.0,Retraité / Consultant,Low,False,2137209.2,0.19,Avec Remise,1285481295.4
61,Olson,Stephen,62,Marketing,Port Jacob,2023-09-02,10490,2300,Non,51,Projet C,0.0,4048,Produit X,32,5,CDD,Jacqueline Ellis DVM,Avancé,1728,32825,97918,9796,50451,68657,1972,52818,13518,43518,73977,8078,39165,492693.0,125880,129908,3.79,2,38.68,0.01,31.0,Retraité / Consultant,Low,False,1107352.55,0.16,Sans Remise,1275523122.61
62,White,Manuel,58,IT,South Katherine,2019-11-18,4849,2021,Oui,60,Projet A,0.07,3209,Produit W,42,1,CDI,Kelly Huynh,Standard,9221,602,38334,66881,53696,11937,31749,40672,65553,73170,92952,33798,24739,496697.19,58188,69430,7.15,6,257.54,0.08,9.67,Pré-retraire,Medium,False,2007308.96,0.83,Avec Remise,1292981428.48
63,Garcia,Jeffrey,39,Marketing,Ericmouth,2023-06-15,5832,1553,Non,81,Projet B,0.05,2937,Produit Z,43,3,Freelance,Andrew Johnson,Expert,9382,9828,5060,5003,6560,61936,76041,47641,90762,52,9041,45836,11958,351232.1,69984,80919,4.34,2,70.32,0.03,19.5,Expérimenté,Medium,False,2646001.9,0.16,Avec Remise,1286715697.35
64,Johnson,Christine,29,Ventes,Richardsonborough,2020-08-14,11626,4536,Non,96,Projet B,0.21,3660,Produit Z,36,4,CDI,Yvonne Marshall,Standard,6612,13507,93299,66007,11765,49320,65835,18393,62377,16933,14481,1552,25420,346722.31,139512,150660,2.3,5,110.47,0.05,5.8,Jeune professionnel,Medium,False,2963013.01,0.29,Avec Remise,1286715697.35
65,Morris,Scott,42,Finance,Tanyaland,2023-01-16,4407,1276,Oui,79,Projet B,0.15,1658,Produit X,44,1,CDI,Micheal Snyder,Standard,4568,76210,98462,47680,89870,29848,24056,41037,30175,23848,78001,38500,22904,510502.35,52884,58728,8.69,2,137.34,0.04,21.0,Senior 1,Medium,False,1131837.73,0.43,Avec Remise,1275523122.61
66,Griffin,Shane,54,RH,Lake Wayne,2013-01-22,6546,1483,Non,74,Projet B,0.07,4279,Produit W,30,4,CDD,Tina Rhodes,Standard,4310,56559,29130,9777,28457,78749,71108,20055,67619,66777,23796,3680,52623,472746.9,78552,84345,5.6,12,497.72,0.15,4.5,Expert,Medium,False,1280372.93,2.14,Avec Remise,1292981428.48
67,Contreras,Nicole,54,IT,West Seantown,2021-04-04,7786,2064,Non,55,Projet A,0.04,3890,Produit Z,35,5,CDD,Cynthia Watson,Standard,4909,8787,5832,53850,24297,75703,15079,29742,35626,72427,32156,20937,52321,409686.72,93432,100405,4.08,4,89.77,0.03,13.5,Expert,Medium,False,2267784.66,0.29,Avec Remise,1286715697.35
68,Hall,Sara,42,IT,East Chrisshire,2020-09-21,2741,3228,Non,98,Projet A,0.26,1517,Produit X,34,1,CDD,Christina Ferguson,Avancé,9621,38711,39154,79317,52147,34706,19132,14154,80522,817,11126,61720,37821,347301.98,32892,45741,7.59,5,372.05,0.16,8.4,Senior 1,Medium,False,3168528.92,1.04,Avec Remise,1275523122.61
69,Nelson,Alex,48,RH,Ruizton,2022-09-30,8657,1650,Oui,50,Projet D,0.01,4239,Produit W,30,5,CDI,Gina Benson,Expert,169,21532,44268,56027,29468,44727,77414,34852,20002,8563,28388,58984,19804,439588.71,103884,105703,4.16,3,62.38,0.02,16.0,Senior 2,Medium,False,1429776.27,0.25,Avec Remise,1292981428.48
70,Goodwin,David,54,RH,East Lindsey,2011-02-09,5112,1347,Oui,50,Projet B,0.08,2315,Produit X,34,5,Freelance,Tammy Watson,Standard,6707,12458,99189,4264,16115,25561,24650,8927,80708,80532,46022,33554,21238,416960.56,61344,69398,6.01,14,420.58,0.15,3.86,Expert,Medium,False,882318.77,1.41,Avec Remise,1275523122.61
71,Martinez,Cynthia,47,RH,Port Nathaniel,2025-01-01,8421,725,Oui,57,Projet C,0.16,2592,Produit W,31,1,Freelance,Katherine Nguyen,Standard,1591,64006,14727,48615,73461,25447,69291,70621,81002,84724,85166,17716,73363,594836.76,101052,103368,5.75,0,0.0,0.0,inf,Senior 2,Low,False,2197016.63,0.0,Avec Remise,1292981428.48
